ParName   Value   Gradient
theta[1]     0.357585 -0.000415382
theta[2]     0.339831 3.41158e-005
theta[4]      16.0818 -0.000159702
theta[5]      8.96134   0.00494542
theta[13]    -0.129067 -4.93581e-006
theta[14]    -0.210863 5.14501e-006
theta[15]     0.025035 -1.00463e-006
theta[16]     0.475812 9.32922e-007
theta[17]     0.915901 -2.59392e-006
theta[18]      1.27014 8.03566e-006
theta[19]      1.32411 -3.88556e-007
theta[20]      1.21663 7.12877e-006
theta[21]      1.25358 4.71871e-006
theta[22]      1.32568 3.75606e-006
theta[23]      1.24999  1.1468e-005
theta[24]      1.25846 8.16655e-006
theta[25]      1.39785 1.99075e-005
theta[26]      1.18246 1.17986e-005
theta[27]     0.749566 -8.91936e-006
theta[28]     0.297366 -8.45339e-006
theta[29]    -0.419018 -1.22389e-005
theta[30]     -1.16568 -1.27616e-005
theta[31]     -1.50012 1.40165e-006
theta[32]     -1.71118 -1.04691e-005
theta[33]     -1.74434 -3.78456e-006
theta[34]      0.60327   4.116e-007
theta[35]     0.861136 -1.72571e-007
theta[36]      1.44611 6.32337e-006
theta[37]      3.19769 1.66849e-005
theta[38]      2.18192  7.3667e-006
theta[39]      2.13194 1.97199e-005
theta[40]      1.98902 1.33935e-005
theta[41]      1.68839 4.21399e-006
theta[42]      1.45339 5.21542e-006
theta[43]      1.10175 -3.9931e-007
theta[44]     0.575866 -1.02523e-005
theta[45]      0.25231 -8.34538e-006
theta[46]    0.0477431 -7.96954e-006
theta[47]    -0.417698 3.38379e-006
theta[48]    -0.990797 -1.60764e-006
theta[49]      -1.3736 1.57273e-006
theta[50]     -1.61505 -7.0308e-006
theta[51]     -1.79875 -5.8063e-006
theta[52]     -1.93296 -3.62875e-006
theta[53]      -1.8743 -6.94287e-006
theta[54]     -1.83108 -1.79227e-006
theta[55]     -1.81864 -4.73282e-006
theta[56]     0.483944 1.34685e-006
theta[57]     0.677176 5.34392e-007
theta[58]      1.14081 -2.16686e-006
theta[59]      2.05444 6.62405e-006
theta[60]      3.59706 1.66693e-005
theta[61]      4.31607 4.00949e-005
theta[62]      3.67112 1.82922e-005
theta[63]      2.33052 7.98006e-006
theta[64]     0.912059 -2.79201e-006
theta[65]    -0.131324 -5.61091e-006
theta[66]    -0.540582 -1.28508e-006
theta[67]    -0.631178 -3.96283e-006
theta[68]    -0.627909 -9.00715e-006
theta[69]    -0.628497 -8.12106e-006
theta[70]     -0.65152 -1.10622e-005
theta[71]    -0.721519 -1.0475e-005
theta[72]    -0.768196 -7.24406e-006
theta[73]    -0.803467 -1.30049e-005
theta[74]    -0.835819 -7.20734e-006
theta[75]    -0.879167 -1.38983e-005
theta[76]     -0.96114 -9.59547e-006
theta[77]     -1.12421 -1.43887e-005
theta[78]     0.273969 3.75003e-006
theta[79]      0.29676 1.01624e-006
theta[80]     0.366304 1.00397e-006
theta[81]     0.771923 1.71698e-006
theta[82]      1.26721 -1.1668e-006
theta[83]      1.76537 -6.8134e-006
theta[84]     0.665017 -2.83174e-006
theta[85]     -0.33967 2.30321e-007
theta[86]     -1.04314 -5.46061e-006
theta[87]     -1.51634 -3.3624e-006
theta[88]      -1.7433 -2.33072e-006
theta[89]     -1.80397 -1.98364e-006
theta[90]     -1.85114 -2.64361e-006
theta[91]     -1.87564 -1.7874e-006
theta[92]     -1.90098 -7.20638e-006
theta[93]      -1.9294 -8.01498e-007
theta[94]       -1.952 -6.8962e-006
theta[95]     -1.96571 -3.19902e-006
theta[96]     -1.97281 -4.82081e-006
theta[97]     -1.97615 -9.47318e-006
theta[98]     -1.97764 1.21333e-006
theta[99]      -1.9783 -6.20886e-006
Grwth[1]      2.11558  0.000370699
Grwth[2]     -0.21995 -0.000753587
Grwth[4]     -0.21371 -7.40865e-005
Grwth[5]    -0.300249  0.000156602
Grwth[10]    0.0253034 -1.63266e-005
Grwth[11]    0.0453112 -1.74597e-005
Grwth[12]    0.0748525 -3.76914e-005
Grwth[13]     0.114538 -3.97789e-005
Grwth[14]     0.164015 -4.48573e-005
Grwth[15]     0.171856 -4.07757e-005
Grwth[16]     0.196368 -4.9467e-005
Grwth[17]      0.23076 -4.36979e-005
Grwth[18]     0.220829 -3.97847e-005
Grwth[19]     0.199658 -2.35442e-005
Grwth[20]     0.227501 -1.14491e-005
Grwth[21]     0.411765 -1.16474e-005
Grwth[22]     0.822905 -6.55839e-006
Grwth[30]     0.175318 -5.47498e-007
Grwth[31]     0.102308 1.11567e-005
Grwth[32]     0.367833 5.92346e-006
Grwth[33]     0.764041 1.01115e-005
Grwth[34]     0.920247 2.41939e-005
Grwth[35]     0.961963 1.71612e-005
log_slx_pars[1]      4.64232  -0.00149688
log_slx_pars[2]      1.52942     0.000325
log_slx_pars[3]      4.26608  0.000577196
log_slx_pars[4]      0.97825 -9.09915e-005
log_slx_pars[5]      4.56008 -0.000146373
log_slx_pars[6]      2.22372 2.61985e-005
log_slx_pars[7]       3.8268 -5.75985e-006
log_slx_pars[8]      2.05762 4.47882e-006
log_slx_pars[9]      3.85922 -2.02172e-005
log_slx_pars[10]      1.07038 4.62218e-006
log_slx_pars[11]      3.70371 -1.18707e-005
log_slx_pars[12]      1.56199   6.806e-006
log_slx_pars[13]      3.85143 -4.42816e-005
log_slx_pars[14]      1.33033 -8.0783e-006
log_slx_pars[15]     -3.80179 1.13355e-007
log_slx_pars[16]      -3.8018 7.62477e-007
log_slx_pars[17]      -3.8014 9.74953e-007
log_slx_pars[18]     -3.79068  1.8781e-006
log_slx_pars[19]     -3.76673 -1.93817e-006
log_slx_pars[20]     -3.62755 -3.01177e-007
log_slx_pars[21]     -3.29055 -1.16512e-006
log_slx_pars[22]     -2.82875 -1.62361e-006
log_slx_pars[23]     -2.39143 -6.58744e-007
log_slx_pars[24]     -1.94926 -1.41299e-006
log_slx_pars[25]     -1.75796 1.18241e-006
log_slx_pars[26]     -1.54696 2.21147e-006
log_slx_pars[27]     -1.13372 2.29702e-007
log_slx_pars[28]    -0.816249 -2.27553e-006
log_slx_pars[29]    -0.972793 -2.02841e-007
log_slx_pars[30]     -1.41767 7.08147e-007
log_slx_pars[31]     -1.61608 -1.36547e-006
log_slx_pars[32]     -1.68032 5.14596e-006
log_slx_pars[33]      -1.6116 3.95546e-006
log_slx_pars[34]     -1.40867 6.96639e-006
log_slx_pars[35]     -1.29259 1.99389e-006
log_slx_pars[36]     -1.21792 -2.75696e-006
log_slx_pars[37]     -2.61314 1.62964e-006
log_slx_pars[38]     -2.61367 9.02988e-007
log_slx_pars[39]     -2.73034  2.7247e-006
log_slx_pars[40]     -3.14003 1.98118e-006
log_slx_pars[41]     -3.39027 2.17486e-006
log_slx_pars[42]      -2.4897 -3.36161e-006
log_slx_pars[43]     -1.97842 -6.21859e-006
log_slx_pars[44]     -1.72222 -1.19227e-006
log_slx_pars[45]     -1.76494 3.65879e-006
log_slx_pars[46]     -1.93532 3.65854e-007
log_slx_pars[47]     -1.98478 -4.22738e-007
log_slx_pars[48]     -1.98182 2.16072e-006
log_slx_pars[49]     -1.98133 4.04813e-007
log_slx_pars[50]     -1.98129 -1.75811e-006
log_slx_pars[51]     -1.98127 -2.38576e-006
log_slx_pars[52]     -1.98126 -8.1131e-007
log_slx_pars[53]     -1.98124 -6.56562e-007
log_slx_pars[54]     -1.98123 3.06443e-006
log_slx_pars[55]     -1.98122 2.52573e-006
log_slx_pars[56]     -1.98121 1.37054e-006
log_slx_pars[57]      -1.9812 -1.23631e-006
log_slx_pars[58]      -1.9812 -1.08268e-006
log_slx_pars[61]    -0.206107 -4.56622e-006
log_slx_pars[62]     -0.58218 1.22322e-005
log_slx_pars[63]    -0.875738 2.58858e-006
log_slx_pars[64]    -0.493752 -3.68375e-006
log_slx_pars[69]    -0.342161 1.24408e-006
log_slx_pars[70]    -0.388581 -8.45005e-007
log_slx_pars[71]    -0.444157 3.93214e-006
log_slx_pars[72]    -0.549174 -1.65154e-006
log_slx_pars[73]    -0.494381 -7.5514e-008
log_slx_pars[74]    -0.480708 3.78534e-006
log_slx_pars[75]    -0.503276 1.33853e-006
log_slx_pars[76]    -0.569122 -6.24177e-007
log_slx_pars[77]    -0.597608  1.2799e-006
log_slx_pars[78]    -0.544453 5.61435e-006
log_slx_pars[79]     -0.46847 9.38859e-006
log_slx_pars[80]    -0.395811 -6.0487e-006
log_slx_pars[81]    -0.331523 4.49088e-006
log_slx_pars[82]    -0.304751 -3.57054e-006
log_slx_pars[83]     -0.52041 -6.78902e-006
log_slx_pars[84]    -0.983974 1.08859e-007
log_slx_pars[85]    -0.755654 2.38182e-006
log_slx_pars[86]    -0.688918 -8.00203e-007
log_slx_pars[87]     -0.52188  3.2111e-006
log_slx_pars[88]    -0.683344 4.80829e-007
log_slx_pars[89]    -0.705463 -1.48684e-006
log_slx_pars[90]    -0.827412 -2.6433e-006
